Lat,Lon,GYear
41.008576,-74.041923,1975
40.844283,-74.574152,1975
40.385487,-74.172575,1975
41.008576,-74.041923,1975
34.645861,-82.76726,1975
32.215483,-110.970828,1975
42.544872,-83.208462,1975
33.640149,-117.915876,1975
42.37686,-72.46914,1975
29.770633,-95.414819,1975
33.867406,-118.397481,1975
33.867406,-118.397481,1975
41.521756,-73.937292,1975
42.13061,-88.092341,1975
40.609259,-74.453927,1975
40.746049,-73.080662,1975
36.691259,-85.133802,1975
47.1874,-122.1645,1975
42.120823,-72.44327,1975
43.087492,-77.432058,1975
41.521756,-73.937292,1975
40.609259,-74.453927,1975
34.067473,-117.927759,1975
39.594031,-105.009802,1975
41.282126,-73.02581,1975
43.220645,-77.464013,1975
39.085561,-84.513589,1976
43.088842,-77.599683,1976
42.104997,-87.93617,1976
33.867406,-118.397481,1976
43.39546,-94.486346,1976
32.765788,-96.85689,1976
37.25286,-122.029595,1976
41.008576,-74.041923,1976
39.89393,-86.229942,1976
40.385487,-74.172575,1976
40.177849,-118.479076,1976
42.405095,-87.859493,1976
36.581055,-79.410727,1976
41.484637,-75.709934,1976
37.574646,-122.046431,1976
37.416667,-122.166667,1976
43.087492,-77.432058,1976
42.29142,-72.71772,1976
35.685858,-117.832494,1976
42.418809,-83.104982,1976
40.811856,-81.373368,1976
41.671706,-86.252194,1976
33.752811,-117.995095,1976
34.112736,-118.365832,1976
39.712606,-105.229868,1976
40.124197,-79.460907,1976
35.229803,-97.504824,1976
37.95114,-122.53956,1976
42.232964,-71.381395,1976
35.951012,-95.885108,1976
33.640149,-117.915876,1976
35.53148,-100.976929,1976
43.220645,-77.464013,1976
36.738109,-95.93326,1976
33.01776,-96.62442,1976
30.420528,-87.223981,1976
38.073472,-78.90293,1976
34.03242,-117.2823,1976
41.95888,-87.941435,1976
33.802254,-118.068984,1976
39.893349,-84.219043,1976
40.045461,-75.387632,1976
41.536632,-81.339554,1976
42.253333,-83.208255,1976
39.636147,-84.082389,1976
43.601347,-84.206759,1976
39.89393,-86.229942,1976
40.91382,-73.3335,1976
40.609259,-74.453927,1976
40.609259,-74.453927,1976
33.909357,-81.076717,1976
40.442411,-79.996664,1976
32.793478,-116.963224,1976
35.670641,-78.663729,1976
41.812195,-79.157992,1976
41.015609,-73.844361,1976
33.893354,-117.931038,1976
34.203774,-118.191187,1976
40.844283,-74.574152,1976
42.253333,-83.208255,1976
36.529122,-82.556123,1976
33.867406,-118.397481,1976
39.957487,-75.604418,1976
40.91382,-73.3335,1976
33.867406,-118.397481,1976
40.91382,-73.3335,1976
40.385487,-74.172575,1976
39.085561,-84.513589,1976
40.069498,-82.526879,1976
40.045461,-75.387632,1976
42.418809,-83.104982,1976
33.767496,-118.187712,1976
39.085561,-84.513589,1976
41.1735,-81.4497,1976
40.385487,-74.172575,1976
29.770633,-95.414819,1976
34.001758,-118.394799,1976
29.770633,-95.414819,1976
34.030733,-117.949992,1976
40.442411,-79.996664,1976
36.06165,-95.923301,1976
42.987118,-83.679301,1976
33.802254,-118.068984,1976
25.775355,-80.208792,1976
43.088842,-77.599683,1976
38.953479,-94.549666,1976
40.385487,-74.172575,1976
41.608715,-73.992141,1976
40.442411,-79.996664,1976
32.980136,-117.082337,1976
43.088842,-77.599683,1976
39.889016,-84.205982,1976
40.91382,-73.3335,1976
41.2866,-92.60028,1976
40.841403,-74.201411,1976
34.030733,-117.949992,1976
38.733326,-90.622121,1976
41.008576,-74.041923,1976
38.90292,-121.06698,1976
29.770633,-95.414819,1976
40.91382,-73.3335,1976
36.697172,-95.639359,1976
42.418809,-83.104982,1976
39.636147,-84.082389,1976
34.607691,-87.0213,1976
32.765788,-96.85689,1976
33.720481,-117.909846,1976
33.871269,-118.371584,1976
39.956267,-75.274357,1976
36.318395,-95.619824,1976
35.2547,-81.560764,1976
33.867406,-118.397481,1976
40.449365,-79.68196,1976
42.323762,-75.319978,1976
43.088842,-77.599683,1976
33.906013,-118.005828,1976
47.564004,-122.226476,1976
39.908086,-75.004604,1976
36.151206,-115.108207,1976
41.783823,-88.146897,1976
43.220645,-77.464013,1976
32.828032,-97.104702,1976
33.648513,-117.838683,1976
36.06165,-95.923301,1976
43.381127,-84.654008,1976
37.69302,-97.337204,1976
40.519697,-74.852845,1976
37.353924,-122.085935,1976
41.2866,-92.60028,1976
40.385487,-74.172575,1976
39.908086,-75.004604,1976
39.89393,-86.229942,1976
40.301688,-79.538092,1976
36.581055,-79.410727,1976
41.1735,-81.4497,1976
40.045461,-75.387632,1976
43.087492,-77.432058,1976
33.867406,-118.397481,1976
40.708181,-74.003846,1976
40.301688,-79.538092,1976
39.085561,-84.513589,1976
34.393428,-99.010477,1976
41.893914,-87.94058,1976
34.030733,-117.949992,1976
37.95114,-122.53956,1976
40.91382,-73.3335,1976
34.210263,-118.570594,1976
41.541709,-73.902683,1976
40.01281,-105.205353,1976
35.327979,-82.478182,1976
43.39546,-94.486346,1976
41.521756,-73.937292,1976
43.098373,-89.324921,1976
41.218272,-73.252765,1976
35.963275,-84.298102,1976
34.030733,-117.949992,1976
43.087492,-77.432058,1976
43.39546,-94.486346,1976
33.01776,-96.62442,1976
41.688236,-81.332823,1976
41.685996,-73.896069,1976
40.442411,-79.996664,1976
40.442411,-79.996664,1976
43.23648,-87.9846,1976
33.767496,-118.187712,1976
39.820757,-74.694484,1976
39.820757,-74.694484,1976
40.442411,-79.996664,1976
33.922954,-117.797999,1976
38.050332,-84.49784,1976
40.148617,-75.266159,1976
26.246438,-80.263929,1976
41.539143,-81.611674,1976
41.008576,-74.041923,1976
40.844283,-74.574152,1976
37.330413,-121.891128,1976
39.592032,-86.375059,1976
40.148617,-75.266159,1976
41.059559,-74.14669,1976
32.082183,-81.123407,1976
35.327979,-82.478182,1976
32.765788,-96.85689,1976
42.792562,-83.609652,1976
42.792562,-83.609652,1976
40.546649,-84.395162,1976
40.148617,-75.266159,1976
34.489743,-120.039532,1976
39.085561,-84.513589,1976
41.20716,-73.71732,1976
33.825599,-118.328416,1976
33.857014,-84.222994,1976
33.802254,-118.068984,1976
42.792562,-83.609652,1976
42.792562,-83.609652,1976
41.008576,-74.041923,1976
36.529122,-82.556123,1976
46.157629,-122.985831,1976
41.059559,-74.14669,1976
33.734584,-117.786935,1976
42.29142,-72.71772,1976
43.220645,-77.464013,1976
34.154498,-118.64317,1976
42.439167,-123.327222,1976
44.981963,-93.26551,1976
39.589081,-79.896108,1976
41.320866,-84.8929,1976
28.984058,-81.234902,1976
40.442411,-79.996664,1976
37.915859,-122.023678,1976
40.045461,-75.387632,1976
43.23648,-87.9846,1976
42.04682,-87.695708,1976
37.448337,-122.268736,1976
28.95116,-95.363282,1977
48.098404,-122.237318,1977
39.89393,-86.229942,1977
41.688236,-81.332823,1977
39.735632,-75.547657,1977
44.060636,-92.439257,1977
29.770633,-95.414819,1977
29.770633,-95.414819,1977
36.318395,-95.619824,1977
36.06165,-95.923301,1977
42.98039,-78.737853,1977
26.921814,-80.215886,1977
39.589081,-79.896108,1977
31.531269,-97.19223,1977
39.911242,-83.839281,1977
33.01776,-96.62442,1977
39.085561,-84.513589,1977
40.725101,-111.939531,1977
35.670641,-78.663729,1977
40.576451,-79.72398,1977
41.008576,-74.041923,1977
43.23648,-87.9846,1977
42.107199,-76.023903,1977
29.770633,-95.414819,1977
40.546649,-84.395162,1977
39.89393,-86.229942,1977
40.576451,-79.72398,1977
39.89393,-86.229942,1977
33.756107,-118.30637,1977
33.648513,-117.838683,1977
41.77478,-88.250675,1977
35.172101,-119.4316,1977
35.764625,-106.921242,1977
37.69302,-97.337204,1977
40.442411,-79.996664,1977
27.968846,-82.803211,1977
41.64704,-87.62067,1977
40.152223,-74.851228,1977
40.045461,-75.387632,1977
43.087492,-77.432058,1977
42.439167,-123.327222,1977
39.89393,-86.229942,1977
42.233956,-87.863856,1977
40.881129,-88.634278,1977
40.064221,-89.196549,1977
37.662085,-113.196253,1977
35.371135,-85.392644,1977
34.030733,-117.949992,1977
41.595832,-73.88745,1977
37.688081,-122.149396,1977
40.449365,-79.68196,1977
40.609259,-74.453927,1977
26.921814,-80.215886,1977
40.442411,-79.996664,1977
41.882953,-87.975404,1977
43.013819,-88.228571,1977
40.449365,-79.68196,1977
29.770633,-95.414819,1977
42.439167,-123.327222,1977
43.23648,-87.9846,1977
39.819298,-104.916784,1977
42.233956,-87.863856,1977
37.146056,-76.578123,1977
34.16591,-118.46357,1977
29.770633,-95.414819,1977
40.636817,-74.452093,1977
40.491704,-82.53339,1977
37.574951,-97.131651,1977
41.008576,-74.041923,1977
33.78683,-117.79341,1977
38.163,-85.5213,1977
41.639217,-71.502017,1977
42.233956,-87.863856,1977
35.89354,-106.285048,1977
41.2866,-92.60028,1977
38.050332,-84.49784,1977
41.027952,-81.938348,1977
34.030733,-117.949992,1977
42.439167,-123.327222,1977
40.217022,-75.648374,1977
33.867406,-118.397481,1977
32.082183,-81.123407,1977
42.418809,-83.104982,1977
40.148617,-75.266159,1977
39.636147,-84.082389,1977
29.770633,-95.414819,1977
36.529122,-82.556123,1977
42.42132,-71.113443,1977
38.163,-85.5213,1977
