Lat,Lon,GYear
39.022959,-77.19925,1981
38.642678,-90.378302,1981
38.642678,-90.378302,1981
40.619819,-74.375205,1981
39.002607,-77.093732,1981
41.364155,-88.421363,1981
37.292411,-80.063958,1981
41.953308,-78.645295,1981
41.783823,-88.146897,1981
44.492901,-73.081591,1981
41.770672,-76.44749,1981
41.607558,-71.083877,1981
43.088842,-77.599683,1981
37.660766,-120.993431,1981
42.506346,-71.198244,1981
40.486,-74.465,1981
39.976602,-82.856827,1981
34.001758,-118.394799,1981
43.088842,-77.599683,1981
42.410921,-88.063011,1981
39.976602,-82.856827,1981
39.735632,-75.547657,1981
41.770672,-76.44749,1981
42.13061,-88.092341,1981
35.937584,-83.75048,1981
40.486,-74.465,1981
37.660766,-120.993431,1981
41.770672,-76.44749,1981
41.770672,-76.44749,1981
41.770672,-76.44749,1981
38.645844,-90.331287,1981
40.864578,-75.207134,1981
38.790084,-77.280669,1981
40.301688,-79.538092,1981
41.783823,-88.146897,1981
35.521573,-97.574376,1981
40.925835,-74.001883,1981
36.812989,-76.309856,1981
34.001758,-118.394799,1981
44.492901,-73.081591,1981
43.069507,-77.514294,1981
40.045461,-75.387632,1981
29.770633,-95.414819,1981
19.532167,-154.955477,1981
42.815656,-73.942324,1981
34.201899,-118.454395,1981
39.002607,-77.093732,1981
41.62236,-85.98378,1982
29.770633,-95.414819,1982
39.903244,-82.750689,1982
34.001758,-118.394799,1982
29.770633,-95.414819,1982
39.085561,-84.513589,1982
42.071476,-88.049239,1982
42.815656,-73.942324,1982
41.147711,-73.941171,1982
41.783823,-88.146897,1982
42.332052,-71.207484,1982
42.815656,-73.942324,1982
41.783823,-88.146897,1982
41.55553,-87.497888,1982
42.62328,-71.36472,1982
42.62328,-71.36472,1982
40.100412,-83.115807,1982
41.494448,-82.020479,1982
39.89393,-86.229942,1982
40.045461,-75.387632,1982
37.330413,-121.891128,1982
39.903244,-82.750689,1982
43.088842,-77.599683,1982
37.660766,-120.993431,1982
42.024981,-87.899607,1982
40.045461,-75.387632,1982
37.643644,-122.411982,1982
40.045461,-75.387632,1982
40.725101,-111.939531,1982
42.374067,-71.117136,1982
38.790084,-77.280669,1982
41.770672,-76.44749,1982
40.301688,-79.538092,1982
29.770633,-95.414819,1982
41.770672,-76.44749,1983
39.171649,-76.852986,1983
42.13061,-88.092341,1983
39.976602,-82.856827,1983
