Lat,Lon
40.045461,-75.387632
40.045461,-75.387632
41.494448,-82.020479
40.045461,-75.387632
40.027962,-75.298984
40.027962,-75.298984
38.787863,-77.187222
37.349033,-77.32394
38.647818,-90.545814
32.957495,-117.034928
41.55553,-87.497888
37.416667,-122.166667
41.55553,-87.497888
39.171649,-76.852986
43.601347,-84.206759
39.081683,-76.565355
39.081683,-76.565355
41.494448,-82.020479
40.449365,-79.68196
43.601347,-84.206759
40.045461,-75.387632
39.735632,-75.547657
40.045461,-75.387632
40.045461,-75.387632
39.735632,-75.547657
39.976602,-82.856827
39.735632,-75.547657
42.177982,-71.305897
34.074913,-118.028045
39.735632,-75.547657
40.045461,-75.387632
34.001758,-118.394799
37.401284,-122.008179
34.015369,-118.111726
39.171649,-76.852986
29.953286,-90.071666
37.349033,-77.32394
42.418809,-83.104982
38.647818,-90.545814
40.045461,-75.387632
42.04682,-87.695708
40.449365,-79.68196
41.770672,-76.44749
42.647505,-71.336201
40.582121,-75.471549
39.691445,-83.953106
41.62236,-85.98378
41.64704,-87.62067
37.405548,-122.078481
19.532167,-154.955477
47.62002,-122.204989
42.448372,-71.233754
42.62328,-71.36472
36.753596,-119.678137
43.601347,-84.206759
37.594129,-122.047013
41.027778,-109.935278
43.149327,-76.223372
35.670641,-78.663729
38.647818,-90.545814
42.448372,-71.233754
40.749542,-73.883319
40.998617,-85.234375
40.708181,-74.003846
42.62328,-71.36472
41.077148,-73.857479
43.149327,-76.223372
29.770633,-95.414819
38.647818,-90.545814
40.486,-74.465
41.494448,-82.020479
33.713991,-117.928354
29.770633,-95.414819
43.601347,-84.206759
42.62328,-71.36472
42.62328,-71.36472
38.790084,-77.280669
41.494448,-82.020479
41.540319,-87.682222
41.494448,-82.020479
41.540319,-87.682222
42.448372,-71.233754
42.448372,-71.233754
38.830825,-77.362938
42.62328,-71.36472
42.448372,-71.233754
33.713991,-117.928354
41.04176,-73.855752
41.021378,-73.805692
41.04176,-73.855752
37.349033,-77.32394
43.088842,-77.599683
39.976602,-82.856827
43.601347,-84.206759
29.770633,-95.414819
29.770633,-95.414819
42.62328,-71.36472
34.001758,-118.394799
29.770633,-95.414819
43.11096,-76.13928
42.034146,-87.756196
35.963275,-84.298102
40.449365,-79.68196
41.147711,-73.941171
34.001758,-118.394799
42.034146,-87.756196
41.147711,-73.941171
42.62328,-71.36472
40.25508,-74.51568
42.62328,-71.36472
40.619819,-74.375205
42.448372,-71.233754
42.034146,-87.756196
41.021378,-73.805692
40.25508,-74.51568
43.601347,-84.206759
42.034146,-87.756196
39.735632,-75.547657
41.882953,-87.975404
40.749542,-73.883319
39.908086,-75.004604
40.129527,-75.060892
42.034146,-87.756196
42.034146,-87.756196
33.603589,-117.861931
40.486,-74.465
29.770633,-95.414819
29.770633,-95.414819
29.770633,-95.414819
36.812989,-76.309856
33.756107,-118.30637
42.62328,-71.36472
29.770633,-95.414819
39.144286,-77.215257
29.770633,-95.414819
37.349033,-77.32394
29.770633,-95.414819
41.783823,-88.146897
35.963275,-84.298102
41.783823,-88.146897
47.62002,-122.204989
29.770633,-95.414819
34.799674,-87.675698
38.647818,-90.545814
42.448372,-71.233754
38.647818,-90.545814
39.735632,-75.547657
41.55553,-87.497888
39.144286,-77.215257
29.770633,-95.414819
40.486,-74.465
34.799674,-87.675698
36.812989,-76.309856
33.57612,-117.73638
40.980549,-74.119354
40.416194,-74.695442
40.25508,-74.51568
39.735632,-75.547657
42.172896,-87.878422
45.472666,-122.856983
29.770633,-95.414819
29.770633,-95.414819
38.816051,-76.939606
41.783823,-88.146897
43.088842,-77.599683
41.770672,-76.44749
41.783823,-88.146897
41.64704,-87.62067
29.770633,-95.414819
29.770633,-95.414819
33.57612,-117.73638
40.129527,-75.060892
42.410921,-88.063011
29.770633,-95.414819
36.812989,-76.309856
34.001758,-118.394799
39.735632,-75.547657
37.44936,-122.12526
38.642678,-90.378302
43.088842,-77.599683
43.088842,-77.599683
34.001758,-118.394799
34.001758,-118.394799
40.838749,-74.921265
41.04176,-73.855752
39.735632,-75.547657
42.815656,-73.942324
46.256423,-119.079477
41.64704,-87.62067
39.976602,-82.856827
40.25508,-74.51568
40.301688,-79.538092
41.04176,-73.855752
34.001758,-118.394799
41.494448,-82.020479
42.024981,-87.899607
40.486,-74.465
42.374067,-71.117136
42.410921,-88.063011
39.022959,-77.19925
38.642678,-90.378302
38.642678,-90.378302
40.619819,-74.375205
39.002607,-77.093732
41.364155,-88.421363
37.292411,-80.063958
41.953308,-78.645295
41.783823,-88.146897
44.492901,-73.081591
41.770672,-76.44749
41.607558,-71.083877
43.088842,-77.599683
37.660766,-120.993431
42.506346,-71.198244
40.486,-74.465
39.976602,-82.856827
34.001758,-118.394799
43.088842,-77.599683
42.410921,-88.063011
39.976602,-82.856827
39.735632,-75.547657
41.770672,-76.44749
42.13061,-88.092341
35.937584,-83.75048
40.486,-74.465
37.660766,-120.993431
41.770672,-76.44749
41.770672,-76.44749
41.770672,-76.44749
38.645844,-90.331287
40.864578,-75.207134
38.790084,-77.280669
40.301688,-79.538092
41.783823,-88.146897
35.521573,-97.574376
40.925835,-74.001883
36.812989,-76.309856
34.001758,-118.394799
44.492901,-73.081591
43.069507,-77.514294
40.045461,-75.387632
29.770633,-95.414819
19.532167,-154.955477
42.815656,-73.942324
34.201899,-118.454395
39.002607,-77.093732
41.62236,-85.98378
29.770633,-95.414819
39.903244,-82.750689
34.001758,-118.394799
29.770633,-95.414819
39.085561,-84.513589
42.071476,-88.049239
42.815656,-73.942324
41.147711,-73.941171
41.783823,-88.146897
42.332052,-71.207484
42.815656,-73.942324
41.783823,-88.146897
41.55553,-87.497888
42.62328,-71.36472
42.62328,-71.36472
40.100412,-83.115807
41.494448,-82.020479
39.89393,-86.229942
40.045461,-75.387632
37.330413,-121.891128
39.903244,-82.750689
